Machine,number of colors,Type of printing,laminate,glue killer,paper width,sending
SMP-4auto,4,convex intermittent,0,0,190,88
SMP-4auto,4,convex intermittent,0,0,190,163
SMP-4auto,4,convex intermittent,0,0,215,168
SMP-4auto,3,convex intermittent,0,0,155,152
CS-1,1,convex intermittent,0,0,90,87
CS-1,1,convex intermittent,0,0,70,69
CS-1,1,convex intermittent,1,0,65,64
CS-1,1,convex intermittent,0,0,75,35
JNAS-2,4,convex intermittent,0,0,135,129
JNAS-2,4,convex intermittent,0,0,210,144
JNAS-2,4,convex intermittent,0,0,210,144
JNAS-2,4,convex intermittent,0,0,210,144
SL-4,2,convex intermittent,0,0,60,60
SL-4,2,convex intermittent,0,0,175,126
SL-4,1,convex intermittent,0,0,180,135
SL-4,1,convex intermittent,0,0,180,103
SL-4,1,convex intermittent,0,0,180,103
SL-4,1,convex intermittent,0,0,210,95
SL-4,3,convex intermittent,0,0,90,114
SL-4,2,convex intermittent,0,0,60,66
SL-5,1,convex intermittent,0,0,140,126
SL-5,1,convex intermittent,0,0,120,74
SL-5,2,convex intermittent,0,0,115,86
SL-5,1,convex intermittent,0,0,135,132
SL-5,2,convex intermittent,0,0,175,66
SL-5,2,convex intermittent,0,0,90,76
SL-5,2,convex intermittent,0,0,90,76
SL-5,2,convex intermittent,0,0,90,76
SL-5,2,convex intermittent,0,0,105,123
SL-5,1,convex intermittent,0,0,135,76
SL-5,2,convex intermittent,0,0,120,76
SL-5,1,convex intermittent,0,0,80,69
SL-5,2,convex intermittent,0,0,60,66
SL-6,1,convex intermittent,0,0,165,103
SL-6,1,convex intermittent,0,0,155,58
SL-6,1,convex intermittent,0,0,155,58
SL-6,1,convex intermittent,0,0,155,58
SL-6,1,convex intermittent,0,0,155,58
SL-6,1,convex intermittent,0,0,120,88
SL-6,1,convex intermittent,0,0,100,90
SL-6,1,convex intermittent,0,0,100,53
SL-6,1,convex intermittent,0,0,100,53
SL-6,1,convex intermittent,0,0,100,53
SL-6,1,convex intermittent,0,0,190,88
SL-6,1,convex intermittent,0,0,115,68
SL-6,1,convex intermittent,0,0,115,68
SL-6,1,convex intermittent,0,0,115,68
SL-6,1,convex intermittent,0,0,195,106
SL-6,1,convex intermittent,0,0,195,106
SL-6,1,convex intermittent,0,0,180,78
SL-6,1,convex intermittent,0,0,95,78
SL-6,1,convex intermittent,0,0,95,78
SL-6,1,convex intermittent,0,0,95,78
SL-6,1,convex intermittent,0,0,95,78
SL-6,1,convex intermittent,0,0,75,126
SL-7,4,convex intermittent,0,0,160,112
SL-7,4,convex intermittent,0,0,100,114
SL-7,3,convex intermittent,0,0,135,129
SL-7,1,convex intermittent,1,0,95,84
SL-7,1,convex intermittent,1,0,170,72
SL-7,1,convex intermittent,1,0,80,106
SL-7,2,convex intermittent,1,0,60,97
SL-7,3,convex intermittent,0,0,95,98
SL-8,4,convex intermittent,0,0,115,102
SL-8,4,convex intermittent,0,0,195,114
SL-8,4,convex intermittent,0,0,175,66
SL-8,4,convex intermittent,0,0,165,114
SL-8,4,convex intermittent,0,0,150,136
SL-8,4,convex intermittent,0,0,165,116
